run_id,mode,bucket_ms,sequence,scheduled_at_micros,fired_at_micros,drift_micros
republish-leg,1,1000,210,1788849991822176,1788849994275853,2453677
republish-leg,1,1000,211,1788849992822176,1788849995291727,2469551
republish-leg,1,1000,212,1788849993822176,1788849996295253,2473077
republish-leg,1,1000,213,1788849994822176,1788849997306898,2484722
republish-leg,1,1000,214,1788849995822176,1788849998322205,2500029
republish-leg,1,1000,215,1788849996822176,1788849999335231,2513055
republish-leg,1,1000,216,1788849997822176,1788850000339970,2517794
republish-leg,1,1000,217,1788849998822176,1788850001355228,2533052
republish-leg,1,1000,218,1788849999822176,1788850002369991,2547815
republish-leg,1,1000,219,1788850000822176,1788850003374578,2552402
republish-leg,1,1000,220,1788850001822176,1788850004376380,2554204
republish-leg,1,1000,221,1788850002822176,1788850005391610,2569434
republish-leg,1,1000,222,1788850003822176,1788850006393635,2571459
republish-leg,1,1000,223,1788850004822176,1788850007409904,2587728
republish-leg,1,1000,224,1788850005822176,1788850008411578,2589402
republish-leg,1,1000,225,1788850006822176,1788850009426642,2604466
republish-leg,1,1000,226,1788850007822176,1788850010441210,2619034
republish-leg,1,1000,227,1788850008822176,1788850011455497,2633321
republish-leg,1,1000,228,1788850009822176,1788850012469389,2647213
republish-leg,1,1000,229,1788850010822176,1788850013483614,2661438
republish-leg,1,1000,230,1788850011822176,1788850014485677,2663501
republish-leg,1,1000,231,1788850012822176,1788850015502370,2680194
republish-leg,1,1000,232,1788850013822176,1788850016507682,2685506
republish-leg,1,1000,233,1788850014822176,1788850017520061,2697885
republish-leg,1,1000,234,1788850015822176,1788850018537080,2714904
republish-leg,1,1000,235,1788850016822176,1788850019551759,2729583
republish-leg,1,1000,236,1788850017822176,1788850020566267,2744091
republish-leg,1,1000,237,1788850018822176,1788850021571247,2749071
republish-leg,1,1000,238,1788850019822176,1788850022581810,2759634
republish-leg,1,1000,239,1788850020822176,1788850023595694,2773518
republish-leg,1,1000,240,1788850021822176,1788850024602310,2780134
republish-leg,1,1000,241,1788850022822176,1788850025616179,2794003
republish-leg,1,1000,242,1788850023822176,1788850026620909,2798733
republish-leg,1,1000,243,1788850024822176,1788850027625474,2803298
republish-leg,1,1000,244,1788850025822176,1788850028628029,2805853
republish-leg,1,1000,245,1788850026822176,1788850029642041,2819865
republish-leg,1,1000,246,1788850027822176,1788850030656550,2834374
republish-leg,1,1000,247,1788850028822176,1788850031669909,2847733
republish-leg,1,1000,248,1788850029822176,1788850032675543,2853367
republish-leg,1,1000,249,1788850030822176,1788850033678658,2856482
republish-leg,1,1000,250,1788850031822176,1788850034690630,2868454
republish-leg,1,1000,251,1788850032822176,1788850035708036,2885860
republish-leg,1,1000,252,1788850033822176,1788850036713459,2891283
republish-leg,1,1000,253,1788850034822176,1788850037715723,2893547
republish-leg,1,1000,254,1788850035822176,1788850038719880,2897704
republish-leg,1,1000,255,1788850036822176,1788850039722893,2900717
republish-leg,1,1000,256,1788850037822176,1788850040738854,2916678
republish-leg,1,1000,257,1788850038822176,1788850041753153,2930977
republish-leg,1,1000,258,1788850039822176,1788850042768493,2946317
republish-leg,1,1000,259,1788850040822176,1788850043770983,2948807
republish-leg,1,1000,260,1788850041822176,1788850044772925,2950749
republish-leg,1,1000,261,1788850042822176,1788850045775794,2953618
republish-leg,1,1000,262,1788850043822176,1788850046779998,2957822
republish-leg,1,1000,263,1788850044822176,1788850047784912,2962736
republish-leg,1,1000,264,1788850045822176,1788850048798938,2976762
republish-leg,1,1000,265,1788850046822176,1788850049813805,2991629
republish-leg,1,1000,266,1788850047822176,1788850050827770,3005594
republish-leg,1,1000,267,1788850048822176,1788850051842944,3020768
republish-leg,1,1000,268,1788850049822176,1788850052857662,3035486
republish-leg,1,1000,269,1788850050822176,1788850053865315,3043139
republish-leg,1,1000,270,1788850051822176,1788850054881440,3059264
republish-leg,1,1000,271,1788850052822176,1788850055894565,3072389
republish-leg,1,1000,272,1788850053822176,1788850056908830,3086654
republish-leg,1,1000,273,1788850054822176,1788850057913508,3091332
republish-leg,1,1000,274,1788850055822176,1788850058924908,3102732
republish-leg,1,1000,275,1788850056822176,1788850059938031,3115855
republish-leg,1,1000,276,1788850057822176,1788850060951643,3129467
republish-leg,1,1000,277,1788850058822176,1788850061955025,3132849
republish-leg,1,1000,278,1788850059822176,1788850062956543,3134367
republish-leg,1,1000,279,1788850060822176,1788850063959527,3137351
republish-leg,1,1000,280,1788850061822176,1788850064962460,3140284
republish-leg,1,1000,281,1788850062822176,1788850065966453,3144277
republish-leg,1,1000,282,1788850063822176,1788850066980164,3157988
republish-leg,1,1000,283,1788850064822176,1788850067996006,3173830
republish-leg,1,1000,284,1788850065822176,1788850069010835,3188659
republish-leg,1,1000,285,1788850066822176,1788850070026847,3204671
republish-leg,1,1000,286,1788850067822176,1788850071028665,3206489
republish-leg,1,1000,287,1788850068822176,1788850072034336,3212160
republish-leg,1,1000,288,1788850069822176,1788850073037700,3215524
republish-leg,1,1000,289,1788850070822176,1788850074052747,3230571
republish-leg,1,1000,290,1788850071822176,1788850075068032,3245856
republish-leg,1,1000,291,1788850072822176,1788850076083016,3260840
republish-leg,1,1000,292,1788850073822176,1788850077097739,3275563
republish-leg,1,1000,293,1788850074822176,1788850078111643,3289467
republish-leg,1,1000,294,1788850075822176,1788850079127039,3304863
republish-leg,1,1000,295,1788850076822176,1788850080141027,3318851
republish-leg,2,300000,5,1788850080822176,1788850080828372,6196
republish-leg,1,1000,296,1788850077822176,1788850081155094,3332918
republish-leg,1,1000,297,1788850078822176,1788850082170696,3348520
republish-leg,1,1000,298,1788850079822176,1788850083186787,3364611
republish-leg,1,1000,299,1788850080822176,1788850084199172,3376996
republish-leg,1,1000,300,1788850081822176,1788850085211252,3389076
republish-leg,1,1000,301,1788850082822176,1788850086224733,3402557
republish-leg,1,1000,302,1788850083822176,1788850087226540,3404364
republish-leg,1,1000,303,1788850084822176,1788850088228015,3405839
republish-leg,1,1000,304,1788850085822176,1788850089237771,3415595
republish-leg,1,1000,305,1788850086822176,1788850090251029,3428853
republish-leg,1,1000,306,1788850087822176,1788850091264536,3442360
republish-leg,1,1000,307,1788850088822176,1788850092267651,3445475
republish-leg,1,1000,308,1788850089822176,1788850093272334,3450158
republish-leg,1,1000,309,1788850090822176,1788850094287647,3465471
republish-leg,1,1000,310,1788850091822176,1788850095302151,3479975
republish-leg,1,1000,311,1788850092822176,1788850096316046,3493870
republish-leg,1,1000,312,1788850093822176,1788850097329735,3507559
republish-leg,1,1000,313,1788850094822176,1788850098332378,3510202
republish-leg,1,1000,314,1788850095822176,1788850099346864,3524688
republish-leg,1,1000,315,1788850096822176,1788850100360861,3538685
republish-leg,1,1000,316,1788850097822176,1788850101376973,3554797
republish-leg,1,1000,317,1788850098822176,1788850102392730,3570554
republish-leg,1,1000,318,1788850099822176,1788850103397216,3575040
republish-leg,1,1000,319,1788850100822176,1788850104398994,3576818
